Currency,Date,Open,High,Low,Close
="AUD",="22/04/2020",="0.6284",="0.6351",="0.6277",="0.6313",
="AUD",="21/04/2020",="0.6371",="0.6374",="0.6254",="0.6284",
="AUD",="20/04/2020",="0.6366",="0.6397",="0.6336",="0.6371",
="AUD",="17/04/2020",="0.6285",="0.6384",="0.6283",="0.6366",
="AUD",="16/04/2020",="0.6341",="0.6349",="0.6264",="0.6285",
="AUD",="15/04/2020",="0.6418",="0.6445",="0.6284",="0.6341",
="AUD",="13/04/2020",="0.6384",="0.6432",="0.6375",="0.6418",
="AUD",="09/04/2020",="0.6309",="0.6368",="0.6308",="0.6349",
="AUD",="08/04/2020",="0.62",="0.6239",="0.6116",="0.6226",
="AUD",="07/04/2020",="0.6096",="0.6208",="0.6076",="0.62",
="AUD",="03/04/2020",="0.6009",="0.6106",="0.599",="0.6096",
="AUD",="31/03/2020",="0.6088",="0.6119",="0.6007",="0.6042",
="AUD",="30/03/2020",="0.6162",="0.6193",="0.6112",="0.6164",
="AUD",="27/03/2020",="0.6047",="0.62",="0.6023",="0.6168",
="AUD",="26/03/2020",="0.5967",="0.6071",="0.5871",="0.6047",
="AUD",="25/03/2020",="0.5897",="0.6074",="0.5893",="0.5967",
="AUD",="23/03/2020",="0.579",="0.5846",="0.5701",="0.58",
="AUD",="20/03/2020",="0.5807",="0.5985",="0.5665",="0.5785",
="AUD",="19/03/2020",="0.5787",="0.5964",="0.551",="0.5807",
="AUD",="18/03/2020",="0.5997",="0.6028",="0.5702",="0.5787",
="AUD",="17/03/2020",="0.6131",="0.6149",="0.5959",="0.5997",
="AUD",="16/03/2020",="0.6151",="0.6307",="0.6079",="0.6131",
="AUD",="13/03/2020",="0.6357",="0.6363",="0.6124",="0.6203",
="AUD",="12/03/2020",="0.6512",="0.6517",="0.6266",="0.6357",
="AUD",="11/03/2020",="0.6482",="0.6539",="0.6476",="0.6512",
="AUD",="09/03/2020",="0.6605",="0.6613",="0.6463",="0.6482",
="AUD",="06/03/2020",="0.6593",="0.6658",="0.6585",="0.6636",
="AUD",="05/03/2020",="0.661",="0.6637",="0.6584",="0.6593",
="AUD",="04/03/2020",="0.6609",="0.6628",="0.6577",="0.661",
="AUD",="03/03/2020",="0.6533",="0.6645",="0.651",="0.6609",
="AUD",="02/03/2020",="0.6487",="0.6568",="0.646",="0.6533",
="AUD",="28/02/2020",="0.6582",="0.659",="0.6434",="0.6515",
="AUD",="27/02/2020",="0.6554",="0.6592",="0.6543",="0.6582",
="AUD",="26/02/2020",="0.6604",="0.6607",="0.6552",="0.6554",
="AUD",="25/02/2020",="0.6618",="0.6623",="0.6586",="0.6604",
="AUD",="24/02/2020",="0.6626",="0.663",="0.6585",="0.6618",
="AUD",="20/02/2020",="0.6618",="0.6639",="0.6586",="0.6627",
="AUD",="17/02/2020",="0.6712",="0.6733",="0.6712",="0.6718",
="AUD",="14/02/2020",="0.6723",="0.6732",="0.6709",="0.6714",
="AUD",="13/02/2020",="0.6739",="0.6745",="0.6707",="0.6723",
="AUD",="12/02/2020",="0.6712",="0.675",="0.6708",="0.6739",
="AUD",="11/02/2020",="0.6673",="0.6737",="0.6673",="0.6712",
="AUD",="10/02/2020",="0.668",="0.6707",="0.666",="0.6673",
="AUD",="07/02/2020",="0.6738",="0.674",="0.6662",="0.6673",
="AUD",="06/02/2020",="0.6745",="0.6765",="0.6731",="0.6738",
="AUD",="05/02/2020",="0.6736",="0.6774",="0.6724",="0.6745",
="AUD",="04/02/2020",="0.6688",="0.6738",="0.6679",="0.6736",
="AUD",="03/02/2020",="0.6688",="0.6707",="0.6682",="0.6688",
="AUD",="31/01/2020",="0.6706",="0.673",="0.6683",="0.6692",
="AUD",="30/01/2020",="0.6748",="0.6763",="0.67",="0.6706",
="AUD",="29/01/2020",="0.6748",="0.6777",="0.6735",="0.6748",
="AUD",="28/01/2020",="0.676",="0.6765",="0.6737",="0.6748",
="AUD",="27/01/2020",="0.6817",="0.6827",="0.6752",="0.676",
="AUD",="24/01/2020",="0.684",="0.6857",="0.6818",="0.6832",
="AUD",="23/01/2020",="0.6838",="0.6879",="0.683",="0.684",
="AUD",="22/01/2020",="0.6852",="0.6856",="0.6827",="0.6838",
="AUD",="21/01/2020",="0.687",="0.6881",="0.6844",="0.6852",
="AUD",="20/01/2020",="0.6877",="0.6889",="0.6855",="0.687",
="AUD",="17/01/2020",="0.6892",="0.6911",="0.6871",="0.6879",
="AUD",="16/01/2020",="0.691",="0.6934",="0.6888",="0.6892",
="AUD",="15/01/2020",="0.6904",="0.6917",="0.6877",="0.691",
="AUD",="14/01/2020",="0.6912",="0.6915",="0.6885",="0.6904",
="AUD",="13/01/2020",="0.6894",="0.692",="0.6882",="0.6912",
