Currency,Date,Open,High,Low,Close
CAD,22/04/2020,1.421,1.4238,1.4115,1.4161
CAD,21/04/2020,1.4095,1.4265,1.4067,1.421
CAD,20/04/2020,1.4006,1.4133,1.3998,1.4095
CAD,17/04/2020,1.4162,1.4165,1.3998,1.4001
CAD,16/04/2020,1.4094,1.4183,1.4053,1.4162
CAD,15/04/2020,1.3907,1.4132,1.3877,1.4094
CAD,13/04/2020,1.3932,1.3937,1.3856,1.3907
CAD,09/04/2020,1.3969,1.4037,1.3933,1.3956
CAD,08/04/2020,1.3957,1.4082,1.3952,1.4024
CAD,07/04/2020,1.411,1.4143,1.3945,1.3957
CAD,03/04/2020,1.42,1.4262,1.4084,1.411
CAD,31/03/2020,1.4218,1.4299,1.408,1.4141
CAD,30/03/2020,1.3979,1.4184,1.3979,1.4152
CAD,27/03/2020,1.4072,1.4154,1.3922,1.3985
CAD,26/03/2020,1.4237,1.4276,1.4011,1.4072
CAD,25/03/2020,1.4497,1.451,1.4207,1.4237
CAD,23/03/2020,1.4335,1.4559,1.4335,1.4499
CAD,20/03/2020,1.4476,1.4536,1.415,1.4366
CAD,19/03/2020,1.4555,1.4668,1.4351,1.4476
CAD,18/03/2020,1.4213,1.4651,1.4167,1.4555
CAD,17/03/2020,1.3981,1.4246,1.3961,1.4213
CAD,16/03/2020,1.3831,1.4017,1.3734,1.3981
CAD,13/03/2020,1.3795,1.3995,1.3783,1.3806
CAD,12/03/2020,1.3753,1.3898,1.3708,1.3795
CAD,11/03/2020,1.3773,1.3774,1.3682,1.3753
CAD,09/03/2020,1.3603,1.3796,1.3589,1.3773
CAD,06/03/2020,1.3426,1.3439,1.338,1.3418
CAD,05/03/2020,1.3408,1.3433,1.3383,1.3426
CAD,04/03/2020,1.3369,1.3431,1.3331,1.3408
CAD,03/03/2020,1.334,1.3384,1.3319,1.3369
CAD,02/03/2020,1.3412,1.3441,1.3315,1.334
CAD,28/02/2020,1.3362,1.3465,1.3356,1.3407
CAD,27/02/2020,1.332,1.3375,1.3309,1.3362
CAD,26/02/2020,1.3283,1.3325,1.3267,1.332
CAD,25/02/2020,1.3273,1.3306,1.3271,1.3283
CAD,24/02/2020,1.3238,1.3308,1.3235,1.3273
CAD,20/02/2020,1.3259,1.3269,1.3202,1.3225
CAD,17/02/2020,1.3253,1.3257,1.3225,1.3229
CAD,14/02/2020,1.3258,1.3269,1.3236,1.3252
CAD,13/02/2020,1.3246,1.3271,1.324,1.3258
CAD,12/02/2020,1.3292,1.3296,1.3236,1.3246
CAD,11/02/2020,1.3323,1.3324,1.3277,1.3292
CAD,10/02/2020,1.3305,1.3329,1.3289,1.3323
CAD,07/02/2020,1.3289,1.3321,1.3279,1.3308
CAD,06/02/2020,1.3278,1.3309,1.3271,1.3289
CAD,05/02/2020,1.3276,1.3303,1.3263,1.3278
CAD,04/02/2020,1.3285,1.3302,1.3264,1.3276
CAD,03/02/2020,1.3233,1.3304,1.3227,1.3285
CAD,31/01/2020,1.3219,1.3253,1.3191,1.3237
CAD,30/01/2020,1.32,1.3227,1.3191,1.3219
CAD,29/01/2020,1.3179,1.3208,1.3155,1.32
CAD,28/01/2020,1.3178,1.3206,1.3172,1.3179
CAD,27/01/2020,1.3145,1.32,1.3139,1.3178
CAD,24/01/2020,1.3137,1.3153,1.3119,1.3143
CAD,23/01/2020,1.3151,1.3172,1.3132,1.3137
CAD,22/01/2020,1.3069,1.3153,1.3036,1.3151
CAD,21/01/2020,1.305,1.3078,1.3044,1.3069
CAD,20/01/2020,1.3062,1.3072,1.3044,1.305
CAD,17/01/2020,1.3042,1.3075,1.3034,1.3066
CAD,16/01/2020,1.3038,1.3056,1.3032,1.3042
CAD,15/01/2020,1.3051,1.3078,1.3035,1.3038
CAD,14/01/2020,1.3049,1.308,1.3046,1.3051
CAD,13/01/2020,1.3052,1.3068,1.3032,1.3049
CAD,10/01/2020,1.3089,1.3095,1.3029,1.305
CAD,09/01/2020,1.3028,1.3105,1.3023,1.3089
CAD,08/01/2020,1.3013,1.3044,1.2976,1.3028
CAD,06/01/2020,1.2992,1.2994,1.2961,1.2966
CAD,03/01/2020,1.2997,1.3008,1.2961,1.3001
CAD,02/01/2020,1.2983,1.3008,1.2969,1.2997
CAD,01/01/2020,1.2978,1.3,1.2967,1.2983
CAD,31/12/2019,1.306,1.3071,1.2952,1.2978
CAD,30/12/2019,1.3076,1.3085,1.3054,1.306
