Currency,Date,Open,High,Low,Close
EUR,22/04/2020,1.0844,1.0885,1.081,1.0816
EUR,21/04/2020,1.087,1.088,1.0817,1.0844
EUR,20/04/2020,1.0875,1.0897,1.0841,1.087
EUR,17/04/2020,1.0834,1.0893,1.0812,1.0875
EUR,16/04/2020,1.0917,1.0939,1.0817,1.0834
EUR,15/04/2020,1.0965,1.0991,1.0857,1.0917
EUR,13/04/2020,1.0917,1.0984,1.0904,1.0965
EUR,09/04/2020,1.0936,1.0953,1.092,1.0937
EUR,08/04/2020,1.0896,1.091,1.083,1.0864
EUR,07/04/2020,1.0802,1.0926,1.0783,1.0896
EUR,03/04/2020,1.0814,1.0836,1.0769,1.0802
EUR,31/03/2020,1.0925,1.097,1.0837,1.0842
EUR,30/03/2020,1.1132,1.1163,1.101,1.102
EUR,27/03/2020,1.1024,1.1147,1.0954,1.1141
EUR,26/03/2020,1.0861,1.1045,1.0857,1.1024
EUR,25/03/2020,1.0757,1.0869,1.0746,1.0861
EUR,23/03/2020,1.0695,1.0828,1.0636,1.0751
EUR,20/03/2020,1.0684,1.0831,1.0638,1.0688
EUR,19/03/2020,1.0848,1.0981,1.0655,1.0684
EUR,18/03/2020,1.0988,1.1045,1.0802,1.0848
EUR,17/03/2020,1.1159,1.1189,1.0955,1.0988
EUR,16/03/2020,1.1067,1.1237,1.1048,1.1159
EUR,13/03/2020,1.1186,1.1227,1.1055,1.1107
EUR,12/03/2020,1.1285,1.1333,1.1056,1.1186
EUR,11/03/2020,1.1316,1.1367,1.1258,1.1285
EUR,09/03/2020,1.1463,1.1473,1.1297,1.1316
EUR,06/03/2020,1.1214,1.1355,1.1192,1.1284
EUR,05/03/2020,1.1124,1.1216,1.112,1.1214
EUR,04/03/2020,1.1159,1.1195,1.1096,1.1124
EUR,03/03/2020,1.118,1.1212,1.1095,1.1159
EUR,02/03/2020,1.1007,1.1185,1.1003,1.118
EUR,28/02/2020,1.098,1.1053,1.0951,1.1026
EUR,27/02/2020,1.0879,1.1006,1.0875,1.098
EUR,26/02/2020,1.0883,1.0909,1.0855,1.0879
EUR,25/02/2020,1.0871,1.0883,1.083,1.0883
EUR,24/02/2020,1.0846,1.0872,1.0805,1.0871
EUR,20/02/2020,1.0793,1.0864,1.0783,1.0847
EUR,17/02/2020,1.0834,1.0851,1.0821,1.0832
EUR,14/02/2020,1.0843,1.0861,1.0827,1.0831
EUR,13/02/2020,1.0879,1.0889,1.0834,1.0843
EUR,12/02/2020,1.0922,1.0926,1.0877,1.0879
EUR,11/02/2020,1.091,1.0925,1.0892,1.0922
EUR,10/02/2020,1.0951,1.0958,1.0909,1.091
EUR,07/02/2020,1.0975,1.0985,1.0942,1.0946
EUR,06/02/2020,1.1001,1.1014,1.0965,1.0975
EUR,05/02/2020,1.1037,1.1048,1.0996,1.1001
EUR,04/02/2020,1.1059,1.1065,1.1033,1.1037
EUR,03/02/2020,1.1084,1.1096,1.1036,1.1059
EUR,31/01/2020,1.1038,1.1096,1.1017,1.1093
EUR,30/01/2020,1.1005,1.1038,1.0999,1.1038
EUR,29/01/2020,1.1009,1.1028,1.0992,1.1005
EUR,28/01/2020,1.1015,1.1025,1.0998,1.1009
EUR,27/01/2020,1.1023,1.1038,1.101,1.1015
EUR,24/01/2020,1.1051,1.1062,1.102,1.1025
EUR,23/01/2020,1.1086,1.1109,1.1036,1.1051
EUR,22/01/2020,1.1092,1.1098,1.107,1.1086
EUR,21/01/2020,1.1084,1.1118,1.1082,1.1092
EUR,20/01/2020,1.1094,1.1102,1.1077,1.1084
EUR,17/01/2020,1.1135,1.1143,1.1086,1.1092
EUR,16/01/2020,1.1158,1.1173,1.1128,1.1135
EUR,15/01/2020,1.1131,1.1163,1.1119,1.1158
EUR,14/01/2020,1.114,1.1145,1.1104,1.1131
EUR,13/01/2020,1.1122,1.1147,1.1113,1.114
