Currency,Date,Open,High,Low,Close
GBP,22/04/2020,1.227,1.2386,1.2262,1.231
GBP,21/04/2020,1.2465,1.247,1.2248,1.227
GBP,20/04/2020,1.2495,1.2502,1.2417,1.2465
GBP,17/04/2020,1.2439,1.2522,1.2407,1.2499
GBP,16/04/2020,1.2539,1.2574,1.2408,1.2439
GBP,15/04/2020,1.2607,1.2648,1.2438,1.2539
GBP,13/04/2020,1.2519,1.2631,1.2502,1.2607
GBP,09/04/2020,1.2449,1.2487,1.2444,1.2455
GBP,08/04/2020,1.2338,1.242,1.2288,1.2406
GBP,07/04/2020,1.2306,1.2385,1.2166,1.2338
GBP,03/04/2020,1.2267,1.2327,1.221,1.2306
GBP,31/03/2020,1.2395,1.2475,1.2352,1.2366
GBP,30/03/2020,1.2454,1.2467,1.2318,1.2387
GBP,27/03/2020,1.2146,1.2486,1.2127,1.246
GBP,26/03/2020,1.1808,1.2181,1.1777,1.2146
GBP,25/03/2020,1.1723,1.1973,1.164,1.1808
GBP,23/03/2020,1.1687,1.1739,1.1447,1.1557
GBP,20/03/2020,1.1555,1.1934,1.1412,1.1629
GBP,19/03/2020,1.1639,1.1794,1.1474,1.1555
GBP,18/03/2020,1.2088,1.213,1.1453,1.1639
GBP,17/03/2020,1.2234,1.2274,1.2003,1.2088
GBP,16/03/2020,1.2286,1.2425,1.2202,1.2234
GBP,13/03/2020,1.2621,1.2642,1.2265,1.2278
GBP,12/03/2020,1.285,1.2851,1.2491,1.2621
GBP,11/03/2020,1.2926,1.2977,1.2832,1.285
GBP,09/03/2020,1.3121,1.3132,1.2901,1.2926
GBP,06/03/2020,1.2939,1.3052,1.2931,1.3048
GBP,05/03/2020,1.2842,1.2947,1.2842,1.2939
GBP,04/03/2020,1.2811,1.2857,1.277,1.2842
GBP,03/03/2020,1.2809,1.2844,1.2742,1.2811
GBP,02/03/2020,1.2808,1.2851,1.274,1.2809
GBP,28/02/2020,1.2884,1.292,1.2726,1.2823
GBP,27/02/2020,1.2908,1.2946,1.286,1.2884
GBP,26/02/2020,1.3011,1.3014,1.2907,1.2908
GBP,25/02/2020,1.2937,1.3018,1.2913,1.3012
GBP,24/02/2020,1.2964,1.297,1.2887,1.2937
GBP,20/02/2020,1.2878,1.2981,1.2875,1.2964
GBP,17/02/2020,1.3039,1.3054,1.3002,1.3012
GBP,14/02/2020,1.3056,1.3063,1.3001,1.3047
GBP,13/02/2020,1.2966,1.307,1.2944,1.3056
GBP,12/02/2020,1.2951,1.2991,1.2947,1.2966
GBP,11/02/2020,1.291,1.2968,1.2895,1.2951
GBP,10/02/2020,1.2895,1.2946,1.2872,1.291
GBP,07/02/2020,1.2934,1.2959,1.2882,1.2892
GBP,06/02/2020,1.3004,1.3008,1.2923,1.2934
GBP,05/02/2020,1.3032,1.307,1.2956,1.3004
GBP,04/02/2020,1.3005,1.3047,1.2941,1.3032
GBP,03/02/2020,1.3215,1.3215,1.299,1.3005
GBP,31/01/2020,1.3095,1.321,1.308,1.3206
GBP,30/01/2020,1.3012,1.311,1.2978,1.3095
GBP,29/01/2020,1.2999,1.303,1.299,1.3012
GBP,28/01/2020,1.3058,1.3065,1.2975,1.2999
GBP,27/01/2020,1.3083,1.3105,1.304,1.3058
GBP,24/01/2020,1.311,1.3173,1.3057,1.3073
GBP,23/01/2020,1.3129,1.3151,1.3097,1.311
GBP,22/01/2020,1.3046,1.3153,1.3035,1.3129
