Currency,Date,Open,High,Low,Close
="JPY",="22/04/2020",="107.78",="107.94",="107.52",="107.81",
="JPY",="21/04/2020",="107.67",="107.83",="107.28",="107.78",
="JPY",="20/04/2020",="107.55",="107.95",="107.49",="107.67",
="JPY",="17/04/2020",="107.72",="108.08",="107.3",="107.54",
="JPY",="16/04/2020",="107.37",="108.08",="107.17",="107.72",
="JPY",="15/04/2020",="107.09",="107.86",="106.93",="107.37",
="JPY",="13/04/2020",="107.58",="107.78",="107.05",="107.09",
="JPY",="09/04/2020",="108.38",="108.59",="108.21",="108.47",
="JPY",="08/04/2020",="108.84",="109.1",="108.51",="108.64",
="JPY",="07/04/2020",="109.02",="109.28",="108.67",="108.84",
="JPY",="03/04/2020",="108.49",="109.38",="108.33",="109.02",
="JPY",="31/03/2020",="107.08",="108.09",="106.92",="107.97",
="JPY",="30/03/2020",="107.95",="108.29",="107.12",="107.91",
="JPY",="27/03/2020",="109.5",="109.69",="107.76",="107.94",
="JPY",="26/03/2020",="111.16",="111.37",="109.35",="109.5",
="JPY",="25/03/2020",="111.47",="111.71",="110.76",="111.16",
="JPY",="23/03/2020",="110.85",="111.59",="109.67",="111.23",
="JPY",="20/03/2020",="110.38",="111.51",="109.34",="110.93",
="JPY",="19/03/2020",="108.44",="110.38",="107.75",="110.38",
="JPY",="18/03/2020",="107.4",="108.65",="106.76",="108.44",
="JPY",="17/03/2020",="105.96",="107.66",="105.75",="107.4",
="JPY",="16/03/2020",="107.29",="107.57",="105.15",="105.96",
="JPY",="13/03/2020",="105.39",="108.5",="104.51",="107.62",
="JPY",="12/03/2020",="104.75",="106.1",="103.09",="105.39",
="JPY",="11/03/2020",="104.38",="105.92",="104.1",="104.75",
="JPY",="09/03/2020",="102.17",="105.21",="101.97",="104.38",
="JPY",="06/03/2020",="106.26",="106.52",="104.99",="105.39",
="JPY",="05/03/2020",="107.43",="107.74",="106.25",="106.26",
="JPY",="04/03/2020",="107.34",="107.69",="106.85",="107.43",
="JPY",="03/03/2020",="107.76",="108.54",="107.16",="107.34",
="JPY",="02/03/2020",="107.46",="108.58",="107.01",="107.76",
="JPY",="28/02/2020",="110.18",="110.23",="107.51",="107.89",
="JPY",="27/02/2020",="110.46",="110.49",="109.69",="110.18",
="JPY",="26/02/2020",="110.03",="110.7",="109.89",="110.46",
="JPY",="25/02/2020",="110.37",="111.04",="110",="110.03",
="JPY",="24/02/2020",="111.61",="111.68",="110.34",="110.37",
="JPY",="20/02/2020",="112.02",="112.19",="111.47",="111.61",
="JPY",="17/02/2020",="109.77",="109.96",="109.72",="109.93",
="JPY",="14/02/2020",="109.77",="109.91",="109.7",="109.78",
="JPY",="13/02/2020",="110.04",="110.12",="109.62",="109.77",
="JPY",="12/02/2020",="109.82",="110.13",="109.73",="110.04",
="JPY",="11/02/2020",="109.69",="109.96",="109.66",="109.82",
="JPY",="10/02/2020",="109.8",="109.88",="109.56",="109.69",
="JPY",="07/02/2020",="109.97",="110.02",="109.53",="109.75",
="JPY",="06/02/2020",="109.76",="109.99",="109.74",="109.97",
="JPY",="05/02/2020",="109.46",="109.84",="109.3",="109.76",
="JPY",="04/02/2020",="108.67",="109.47",="108.55",="109.46",
="JPY",="03/02/2020",="108.43",="108.8",="108.32",="108.67",
="JPY",="31/01/2020",="108.61",="109.14",="108.31",="108.35",
="JPY",="30/01/2020",="109.15",="109.26",="108.58",="108.61",
="JPY",="29/01/2020",="109.13",="109.27",="108.98",="109.15",
="JPY",="28/01/2020",="109.01",="109.2",="108.76",="109.13",
="JPY",="27/01/2020",="109.02",="109.14",="108.73",="109.01",
="JPY",="24/01/2020",="109.36",="109.65",="109.17",="109.28",
="JPY",="23/01/2020",="109.87",="109.92",="109.27",="109.36",
="JPY",="22/01/2020",="109.92",="110.1",="109.76",="109.87",
="JPY",="21/01/2020",="110.18",="110.22",="109.86",="109.92",
="JPY",="20/01/2020",="110.06",="110.22",="110.05",="110.18",
="JPY",="17/01/2020",="110.15",="110.29",="110.05",="110.14",
="JPY",="16/01/2020",="109.89",="110.18",="109.85",="110.15",
="JPY",="15/01/2020",="110.1",="110.11",="109.79",="109.89",
="JPY",="14/01/2020",="109.92",="110.21",="109.89",="110.1",
="JPY",="13/01/2020",="109.49",="109.94",="109.45",="109.92",
